date,dam,precipitation_mm
2020-11-12,Occhito,0.0
2020-11-13,Occhito,0.0
2020-11-14,Occhito,0.0
2020-11-15,Occhito,0.9
2020-11-16,Occhito,3.5
2020-11-17,Occhito,8.5
2020-11-18,Occhito,4.6
2020-11-19,Occhito,0.0
2020-11-20,Occhito,30.1
2020-11-21,Occhito,25.4
2020-11-22,Occhito,0.0
2020-11-23,Occhito,0.0
2020-11-24,Occhito,0.1
2020-11-25,Occhito,0.0
2020-11-26,Occhito,0.0
2020-11-27,Occhito,0.0
2020-11-28,Occhito,1.5
2020-11-29,Occhito,37.4
2020-11-30,Occhito,0.4
2020-12-01,Occhito,0.2
2020-12-02,Occhito,4.6
2020-12-03,Occhito,25.7
2020-12-04,Occhito,0.1
2020-12-05,Occhito,0.0
2020-12-06,Occhito,21.1
2020-12-07,Occhito,0.0
2020-12-08,Occhito,8.6
2020-12-09,Occhito,2.0
2020-12-10,Occhito,0.0
2020-12-11,Occhito,1.7
2020-12-12,Occhito,0.0
2020-12-13,Occhito,2.9
2020-12-14,Occhito,0.0
2020-12-15,Occhito,0.0
2020-12-16,Occhito,0.0
2020-12-17,Occhito,0.0
2020-12-18,Occhito,0.0
2020-12-19,Occhito,0.0
2020-12-20,Occhito,0.1
2020-12-21,Occhito,0.0
2020-12-22,Occhito,0.0
2020-12-23,Occhito,0.0
2020-12-24,Occhito,0.0
2020-12-25,Occhito,1.1
2020-12-26,Occhito,9.0
2020-12-27,Occhito,13.3
2020-12-28,Occhito,11.8
2020-12-29,Occhito,2.7
2020-12-30,Occhito,2.6
2020-12-31,Occhito,0.0
2021-01-01,Occhito,0.3
2021-01-02,Occhito,0.9
2021-01-03,Occhito,0.2
2021-01-04,Occhito,0.1
2021-01-05,Occhito,4.9
2021-01-06,Occhito,0.6
2021-01-07,Occhito,10.0
2021-01-08,Occhito,6.6
2021-01-09,Occhito,9.8
2021-01-10,Occhito,32.5
2021-01-11,Occhito,0.4
2021-01-12,Occhito,0.0
2021-01-13,Occhito,0.0
2021-01-14,Occhito,2.8
2021-01-15,Occhito,1.1
2021-01-16,Occhito,1.5
2021-01-17,Occhito,0.8
2021-01-18,Occhito,4.0
2021-01-19,Occhito,0.0
2021-01-20,Occhito,0.0
2021-01-21,Occhito,0.2
2021-01-22,Occhito,2.8
2021-01-23,Occhito,1.5
2021-01-24,Occhito,14.7
2021-01-25,Occhito,2.4
2021-01-26,Occhito,2.0
2021-01-27,Occhito,0.0
2021-01-28,Occhito,0.0
2021-01-29,Occhito,0.5
2021-01-30,Occhito,0.3
2021-01-31,Occhito,1.9
2021-02-01,Occhito,0.2
2021-02-02,Occhito,0.8
2021-02-03,Occhito,0.0
2021-02-04,Occhito,0.0
2021-02-05,Occhito,0.0
2021-02-06,Occhito,0.0
2021-02-07,Occhito,13.6
2021-02-08,Occhito,0.9
2021-02-09,Occhito,3.3
2021-02-10,Occhito,12.2
2021-02-11,Occhito,1.1
2021-02-12,Occhito,2.9
2021-02-13,Occhito,28.2
2021-02-14,Occhito,1.2
2021-02-15,Occhito,0.3
2021-02-16,Occhito,0.0
2021-02-17,Occhito,0.0
2021-02-18,Occhito,0.0
2021-02-19,Occhito,0.0
2021-02-20,Occhito,0.0
2021-02-21,Occhito,0.0
2021-02-22,Occhito,0.0
2021-02-23,Occhito,0.0
2021-02-24,Occhito,0.0
2021-02-25,Occhito,0.0
2021-02-26,Occhito,0.0
2021-02-27,Occhito,0.0
2021-02-28,Occhito,0.0
2021-03-01,Occhito,0.0
2021-03-02,Occhito,0.0
2021-03-03,Occhito,0.0
2021-03-04,Occhito,0.0
2021-03-05,Occhito,0.0
2021-03-06,Occhito,1.8
2021-03-07,Occhito,0.7
2021-03-08,Occhito,7.3
2021-03-09,Occhito,29.1
2021-03-10,Occhito,3.4
2021-03-11,Occhito,0.0
2021-03-12,Occhito,0.0
2021-03-13,Occhito,0.5
2021-03-14,Occhito,2.1
2021-03-15,Occhito,6.5
2021-03-16,Occhito,1.2
2021-03-17,Occhito,0.9
2021-03-18,Occhito,0.6
2021-03-19,Occhito,1.2
2021-03-20,Occhito,5.8
2021-03-21,Occhito,5.1
2021-03-22,Occhito,1.4
2021-03-23,Occhito,2.4
2021-03-24,Occhito,0.1
2021-03-25,Occhito,0.0
2021-03-26,Occhito,0.2
2021-03-27,Occhito,0.0
2021-03-28,Occhito,0.1
2021-03-29,Occhito,0.0
2021-03-30,Occhito,0.0
2021-03-31,Occhito,0.0
2021-04-01,Occhito,0.0
2021-04-02,Occhito,1.0
2021-04-03,Occhito,17.7
2021-04-04,Occhito,4.4
2021-04-05,Occhito,0.0
2021-04-06,Occhito,1.4
2021-04-07,Occhito,2.0
2021-04-08,Occhito,0.0
2021-04-09,Occhito,0.0
2021-04-10,Occhito,0.0
2021-04-11,Occhito,1.9
2021-04-12,Occhito,2.9
2021-04-13,Occhito,6.1
2021-04-14,Occhito,0.0
2021-04-15,Occhito,0.2
2021-04-16,Occhito,0.0
2021-04-17,Occhito,0.1
2021-04-18,Occhito,7.8
2021-04-19,Occhito,0.8
2021-04-20,Occhito,4.2
2021-04-21,Occhito,0.1
2021-04-22,Occhito,6.0
2021-04-23,Occhito,2.7
2021-04-24,Occhito,0.0
2021-04-25,Occhito,0.0
2021-04-26,Occhito,0.5
2021-04-27,Occhito,4.3
2021-04-28,Occhito,5.2
2021-04-29,Occhito,0.7
2021-04-30,Occhito,0.0
2021-05-01,Occhito,3.5
2021-05-02,Occhito,0.0
2021-05-03,Occhito,0.0
2021-05-04,Occhito,0.3
2021-05-05,Occhito,0.0
2021-05-06,Occhito,0.0
2021-05-07,Occhito,0.0
2021-05-08,Occhito,0.1
2021-05-09,Occhito,0.0
2021-05-10,Occhito,0.0
2021-05-11,Occhito,0.0
2021-05-12,Occhito,0.0
2021-05-13,Occhito,0.2
2021-05-14,Occhito,1.1
2021-05-15,Occhito,6.6
2021-05-16,Occhito,0.0
2021-05-17,Occhito,0.2
2021-05-18,Occhito,0.0
2021-05-19,Occhito,9.0
2021-05-20,Occhito,0.3
