date,dam,level_m,capacity_m3,level_raw,capacity_raw
2018-03-21,Capacciotti,183.9,29534400,"183,90",29.534.400
2018-03-21,Occhito,188.78,165031280,"188,78",165.031.280
2018-03-21,Osento,446.25,4825000,"446,25",4.825.000
2018-03-22,Capaccio,146.79,16655322,"146,79",16.655.322
2018-03-22,Capacciotti,184.05,29855900,"184,05",29.855.900
2018-03-22,Occhito,189.28,170044280,"189,28",170.044.280
2018-03-22,Osento,446.8,5166000,"446,80",5.166.000
2018-03-23,Capaccio,146.94,17160000,"146,94",17.160.000
2018-03-23,Capacciotti,184.15,30083300,"184,15",30.083.300
2018-03-23,Occhito,189.5,172250000,"189,50",172.250.000
2018-03-23,Osento,447.7,5742000,"447,70",5.742.000
2018-03-24,Capaccio,147.02,17452000,"147,02",17.452.000
2018-03-24,Capacciotti,184.25,30310700,"184,25",30.310.700
2018-03-24,Occhito,189.65,173753900,"189,65",173.753.900
2018-03-24,Osento,448.2,5960000,"448,20",5.960.000
2018-03-25,Capaccio,147.08,17608000,"147,08",17.608.000
2018-03-25,Capacciotti,184.35,30538100,"184,35",30.538.100
2018-03-25,Occhito,189.78,175057280,"189,78",175.057.280
2018-03-25,Osento,448.7,6212000,"448,70",6.212.000
2018-03-26,Capaccio,147.17,17842000,"147,17",17.842.000
2018-03-26,Capacciotti,184.4,30651800,"184,40",30.651.800
2018-03-26,Occhito,189.94,176661440,"189,94",176.661.440
2018-03-26,Osento,450.3,7150000,"450,30",7.150.000
2018-03-27,Capaccio,147.3,18180000,"147,30",18.180.000
2018-03-27,Capacciotti,184.45,30765500,"184,45",30.765.500
2018-03-27,Occhito,190.12,178949720,"190,12",178.949.720
2018-03-27,Osento,450.3,7150000,"450,30",7.150.000
2018-03-28,Capaccio,147.32,18232000,"147,32",18.232.000
2018-03-28,Capacciotti,184.55,30992900,"184,55",30.992.900
2018-03-28,Occhito,190.22,180355320,"190,22",180.355.320
2018-03-28,Osento,452.2,8258000,"452,20",8.258.000
2018-03-29,Capaccio,147.32,18232000,"147,32",18.232.000
2018-03-29,Capacciotti,184.75,31447700,"184,75",31.447.700
2018-03-29,Occhito,190.3,181479800,"190,30",181.479.800
2018-03-29,Osento,452.4,8366000,"452,40",8.366.000
2018-03-30,Capaccio,147.31,18206000,"147,31",18.206.000
2018-03-30,Capacciotti,184.95,31902500,"184,95",31.902.500
2018-03-30,Occhito,190.35,182182600,"190,35",182.182.600
2018-03-30,Osento,452.6,8514000,"452,60",8.514.000
2018-03-31,Capaccio,147.3,18180000,"147,30",18.180.000
2018-03-31,Capacciotti,185.1,32244100,"185,10",32.244.100
2018-03-31,Occhito,190.42,183166520,"190,42",183.166.520
2018-03-31,Osento,452.75,8655000,"452,75",8.655.000
2018-04-01,Capaccio,147.3,18180000,"147,30",18.180.000
2018-04-01,Capacciotti,185.3,32698900,"185,30",32.698.900
2018-04-01,Occhito,190.48,184009880,"190,48",184.009.880
2018-04-01,Osento,452.95,8843000,"452,95",8.843.000
2018-04-02,Capaccio,147.32,18232000,"147,32",18.232.000
2018-04-02,Capacciotti,185.5,33153700,"185,50",33.153.700
2018-04-02,Occhito,190.58,185415480,"190,58",185.415.480
2018-04-02,Osento,453.15,8983000,"453,15",8.983.000
2018-04-03,Capaccio,147.31,18206000,"147,31",18.206.000
2018-04-03,Capacciotti,185.65,33494800,"185,65",33.494.800
2018-04-03,Occhito,190.63,186118280,"190,63",186.118.280
2018-04-03,Osento,453.3,9076000,"453,30",9.076.000
2018-04-04,Capaccio,147.29,18154000,"147,29",18.154.000
2018-04-04,Capacciotti,185.85,33949600,"185,85",33.949.600
2018-04-04,Occhito,190.65,186399400,"190,65",186.399.400
2018-04-04,Osento,453.4,9138000,"453,40",9.138.000
2018-04-05,Capaccio,147.26,18076000,"147,26",18.076.000
2018-04-05,Capacciotti,186.05,34414700,"186,05",34.414.700
2018-04-05,Occhito,190.7,187102200,"190,70",187.102.200
2018-04-05,Osento,453.45,9169000,"453,45",9.169.000
2018-04-06,Capaccio,147.24,18024000,"147,24",18.024.000
2018-04-06,Capacciotti,186.25,34908700,"186,25",34.908.700
2018-04-06,Occhito,190.71,187242760,"190,71",187.242.760
2018-04-06,Osento,453.45,9169000,"453,45",9.169.000
2018-04-07,Capaccio,147.22,17972000,"147,22",17.972.000
2018-04-07,Capacciotti,186.4,35279200,"186,40",35.279.200
2018-04-07,Occhito,190.73,187523880,"190,73",187.523.880
2018-04-07,Osento,453.5,9200000,"453,50",9.200.000
2018-04-08,Capaccio,147.2,17920000,"147,20",17.920.000
2018-04-08,Capacciotti,186.6,35773200,"186,60",35.773.200
2018-04-08,Occhito,190.74,187664440,"190,74",187.664.440
2018-04-08,Osento,453.55,9245000,"453,55",9.245.000
2018-04-09,Capaccio,147.18,17868000,"147,18",17.868.000
2018-04-09,Capacciotti,186.8,36267200,"186,80",36.267.200
2018-04-09,Occhito,190.76,187945560,"190,76",187.945.560
2018-04-09,Osento,453.6,9290000,"453,60",9.290.000
2018-04-10,Capaccio,147.17,17842000,"147,17",17.842.000
2018-04-10,Capacciotti,186.95,36637700,"186,95",36.637.700
2018-04-10,Occhito,190.79,188367240,"190,79",188.367.240
2018-04-10,Osento,453.65,9335000,"453,65",9.335.000
2018-04-11,Capaccio,147.15,17790000,"147,15",17.790.000
2018-04-11,Capacciotti,187.15,37132000,"187,15",37.132.000
2018-04-11,Occhito,190.8,188507800,"190,80",188.507.800
2018-04-11,Osento,453.7,9380000,"453,70",9.380.000
2018-04-12,Capaccio,147.13,17738000,"147,13",17.738.000
2018-04-12,Capacciotti,187.3,37502500,"187,30",37.502.500
2018-04-12,Occhito,190.8,188507800,"190,80",188.507.800
2018-04-12,Osento,453.7,9380000,"453,70",9.380.000
2018-04-13,Capaccio,147.11,17686000,"147,11",17.686.000
2018-04-13,Capacciotti,187.5,37996500,"187,50",37.996.500
2018-04-13,Occhito,190.81,188648360,"190,81",188.648.360
2018-04-13,Osento,453.75,9425000,"453,75",9.425.000
2018-04-14,Capaccio,147.09,17634000,"147,09",17.634.000
2018-04-14,Capacciotti,187.6,38243500,"187,60",38.243.500
2018-04-14,Occhito,190.8,188507800,"190,80",188.507.800
2018-04-14,Osento,453.8,9470000,"453,80",9.470.000
2018-04-15,Capaccio,147.08,17608000,"147,08",17.608.000
2018-04-15,Capacciotti,187.75,38614000,"187,75",38.614.000
2018-04-15,Occhito,190.8,188507800,"190,80",188.507.800
2018-04-15,Osento,453.85,9515000,"453,85",9.515.000
2018-04-16,Capaccio,147.07,17582000,"147,07",17.582.000
2018-04-16,Capacciotti,187.9,38984500,"187,90",38.984.500
2018-04-16,Occhito,190.79,188367240,"190,79",188.367.240
2018-04-16,Osento,453.85,9515000,"453,85",9.515.000
2018-04-17,Capaccio,147.06,17556000,"147,06",17.556.000
2018-04-17,Capacciotti,187.95,39108000,"187,95",39.108.000
2018-04-17,Occhito,190.8,188507800,"190,80",188.507.800
2018-04-17,Osento,453.9,9560000,"453,90",9.560.000
2018-04-18,Capaccio,147.05,17530000,"147,05",17.530.000
2018-04-18,Capacciotti,188.1,39499700,"188,10",39.499.700
2018-04-18,Occhito,190.81,188648360,"190,81",188.648.360
2018-04-18,Osento,453.9,9560000,"453,90",9.560.000
2018-04-19,Capaccio,147.03,17478000,"147,03",17.478.000
2018-04-19,Capacciotti,188.2,39767500,"188,20",39.767.500
2018-04-19,Occhito,190.81,188648360,"190,81",188.648.360
2018-04-19,Osento,453.95,9605000,"453,95",9.605.000
2018-04-20,Capaccio,147.02,17452000,"147,02",17.452.000
2018-04-20,Capacciotti,188.3,40035300,"188,30",40.035.300
2018-04-20,Occhito,190.8,188507800,"190,80",188.507.800
2018-04-20,Osento,453.95,9605000,"453,95",9.605.000
